product_id,product_name,category,cost_price,selling_price,discount,stock,monthly_sales,demand_level,rating,supplier_lead_time
P001,Laptop Dell i5,Electronics,42000.0,52822.0,2.0,35,120,HIGH,4.5,7
P002,Laptop HP Ryzen 5,Electronics,40000.0,51940.0,2.0,28,110,HIGH,4.4,8
P003,MacBook Air M1,Electronics,75000.0,92000.0,5.0,15,90,HIGH,4.8,10
P004,Wireless Mouse,Accessories,400.0,799.0,15.0,220,180,MEDIUM,4.2,3
P005,Mechanical Keyboard,Accessories,2200.0,4500.0,12.0,140,95,MEDIUM,4.6,5
P006,USB-C Hub,Accessories,1200.0,2800.0,10.0,180,70,LOW,4.1,4
P007,External HDD 1TB,Storage,3200.0,5200.0,8.0,90,60,MEDIUM,4.3,6
P008,SSD NVMe 512GB,Storage,4200.0,6800.0,6.0,55,85,HIGH,4.7,6
P009,WiFi Router,Networking,1800.0,3200.0,10.0,75,50,MEDIUM,4.0,5
P010,Bluetooth Speaker,Audio,2200.0,4200.0,15.0,160,140,MEDIUM,4.4,4
P011,Smart Watch,Wearables,3000.0,6500.0,20.0,200,160,MEDIUM,4.2,5
P012,Noise Cancelling Headphones,Audio,6500.0,12000.0,12.0,45,65,HIGH,4.6,7
P013,Webcam HD,Accessories,1500.0,3200.0,10.0,130,40,LOW,4.0,4
P014,Graphics Card RTX 3060,Electronics,28000.0,42000.0,5.0,12,35,HIGH,4.8,12
P015,Power Bank 20000mAh,Accessories,1200.0,2600.0,18.0,190,150,MEDIUM,4.3,4
P016,Smartphone Android,Electronics,18000.0,26000.0,10.0,30,140,HIGH,4.5,9
P017,Tablet Android,Electronics,14000.0,22000.0,8.0,40,75,MEDIUM,4.2,8
P018,Printer Inkjet,Office,6500.0,9800.0,12.0,25,30,LOW,4.1,10
P019,Monitor 24 Inch,Electronics,9000.0,14500.0,6.0,60,55,MEDIUM,4.4,7
P020,UPS Power Backup,Office,4200.0,7200.0,10.0,85,45,LOW,4.0,6
P021,Server Rack,IT Hardware,18000.0,28000.0,5.0,10,8,LOW,4.2,15
P022,Network Switch,Networking,7500.0,12000.0,8.0,22,18,LOW,4.1,12
P023,Web Server Mini,IT Hardware,35000.0,52000.0,6.0,14,22,MEDIUM,4.6,14
P024,AI Edge Device,IT Hardware,42000.0,65000.0,5.0,8,12,LOW,4.7,20
P025,Cloud Backup Appliance,IT Hardware,30000.0,48000.0,7.0,11,15,LOW,4.5,18
P028,Wireless Mouse Logitech (P028),Accessories,1019.0,1295.0,8.0,169,126,MEDIUM,3.6,8
P029,Laptop Dell i7 (P029),Electronics,56593.0,71652.0,2.0,196,131,MEDIUM,4.6,13
P030,4G LTE Router (P030),Networking,6268.0,9273.0,2.0,69,140,HIGH,4.0,4
P031,Ethernet Cable Cat6 (P031),Networking,231.0,305.0,15.0,20,167,HIGH,4.6,10
P032,Power Bank 10000mAh (P032),Accessories,879.0,1133.0,15.0,47,130,MEDIUM,3.6,5
P033,Gaming Headset 7.1 (P033),Audio,5395.0,8096.0,18.0,28,45,LOW,3.7,7
P034,Network Switch 16 Port (P034),Networking,11509.0,16491.0,5.0,166,61,MEDIUM,4.6,4
P035,Network Attached Storage (P035),IT Hardware,32589.0,49613.0,10.0,44,147,MEDIUM,3.8,7
P036,AR Glasses (P036),Wearables,51158.0,64360.0,15.0,30,36,LOW,4.8,9
P037,SSD NVMe 2TB (P037),Storage,12838.0,18688.0,12.0,179,94,MEDIUM,4.1,5
P038,Memory Card 256GB (P038),Storage,1592.0,2324.0,5.0,32,15,LOW,4.4,8
P039,Document Camera (P039),Office,13977.0,19229.0,2.0,167,54,MEDIUM,4.6,15
P040,Apple Watch Series 8 (P040),Wearables,37935.0,46983.0,2.0,79,167,HIGH,4.6,10
P041,Ring Light 10 Inch (P041),Accessories,2294.0,3138.0,10.0,39,15,LOW,4.9,10
P042,Action Camera GoPro (P042),Electronics,26214.0,31121.0,15.0,45,178,HIGH,3.6,21
P043,CCTV Camera PTZ (P043),Security,8514.0,11577.0,5.0,31,236,HIGH,3.7,12
P044,Gaming Controller PC (P044),Gaming,3110.0,4674.0,18.0,40,238,HIGH,4.6,8
P045,Smart Glasses (P045),Wearables,33695.0,45389.0,10.0,6,26,LOW,4.4,5
P046,Biometric Fingerprint (P046),Security,3522.0,5078.0,2.0,26,7,LOW,3.6,8
P047,DJ Headphones (P047),Audio,6942.0,9577.0,20.0,31,35,LOW,3.8,3
P048,UPS 1000VA (P048),Office,6983.0,9447.0,2.0,55,122,MEDIUM,3.6,10
P049,Monitor Arm Single (P049),Accessories,3075.0,4239.0,8.0,148,75,MEDIUM,3.9,3
P050,Serial Console Server (P050),IT Hardware,18979.0,26975.0,2.0,36,160,HIGH,4.1,14
P051,WiFi Extender (P051),Networking,2373.0,2945.0,2.0,73,167,HIGH,3.9,10
P052,Workstation Dell (P052),IT Hardware,71267.0,89836.0,2.0,45,109,MEDIUM,4.6,7
P053,Digital Camera DSLR (P053),Electronics,46105.0,70088.0,8.0,10,37,LOW,4.8,8
P054,CCTV Camera PTZ (P054),Security,12051.0,15269.0,5.0,46,245,HIGH,4.4,5
P055,CCTV Camera PTZ (P055),Security,10515.0,14679.0,15.0,55,152,HIGH,3.9,11
P056,Portable SSD 500GB (P056),Storage,6937.0,9359.0,5.0,11,44,LOW,3.6,5
P057,Racing Wheel (P057),Gaming,8927.0,11687.0,5.0,51,194,HIGH,3.7,10
P058,Condenser Mic Studio (P058),Audio,13903.0,20557.0,2.0,106,110,MEDIUM,4.9,3
P059,SSD NVMe 2TB (P059),Storage,12693.0,15480.0,8.0,18,43,LOW,4.6,5
P060,USB Microphone (P060),Audio,4966.0,7523.0,2.0,22,32,LOW,3.6,7
P061,Portable SSD 500GB (P061),Storage,7939.0,9843.0,20.0,173,94,MEDIUM,3.5,3
P062,Memory Card 256GB (P062),Storage,1043.0,1373.0,8.0,108,45,MEDIUM,4.0,2
P063,Smart Watch GPS (P063),Wearables,12092.0,17252.0,15.0,34,204,HIGH,4.9,5
P064,SSD SATA 1TB (P064),Storage,8409.0,10000.0,15.0,46,205,HIGH,3.9,3
P065,Printer Laser Mono (P065),Office,12364.0,15607.0,20.0,88,145,MEDIUM,3.8,15
P066,WiFi Extender (P066),Networking,1627.0,2440.0,12.0,132,105,MEDIUM,4.5,10
P067,Smart Watch Android (P067),Wearables,5519.0,8494.0,8.0,39,73,MEDIUM,3.7,8
P068,VR Headset Meta (P068),Wearables,34110.0,52672.0,5.0,78,113,MEDIUM,3.9,8
P069,Smart TV 43 Inch (P069),Electronics,40958.0,56490.0,10.0,200,48,MEDIUM,4.9,16
P070,Apple Watch Series 8 (P070),Wearables,42198.0,54483.0,12.0,133,81,MEDIUM,4.5,10
P071,SSD NVMe 1TB (P071),Storage,8682.0,13266.0,8.0,133,78,MEDIUM,4.3,2
P072,Soundbar 2.1 (P072),Audio,9261.0,13620.0,15.0,84,96,MEDIUM,4.3,4
P073,Ring Light 10 Inch (P073),Accessories,1870.0,2645.0,15.0,24,20,LOW,3.8,5
P074,External HDD 2TB (P074),Storage,4625.0,7141.0,5.0,177,120,MEDIUM,3.8,8
P075,Network Attached Storage (P075),IT Hardware,32148.0,45738.0,2.0,69,127,HIGH,3.8,19
P076,Gaming LED Strip (P076),Gaming,1265.0,1609.0,5.0,148,142,MEDIUM,4.5,10
P077,Security Alarm System (P077),Security,13700.0,20685.0,18.0,72,240,HIGH,4.8,12
P078,Mini PC i7 (P078),IT Hardware,50036.0,74591.0,12.0,77,233,HIGH,4.4,11
P079,Server Tower (P079),IT Hardware,103542.0,131163.0,15.0,50,109,MEDIUM,3.7,10
P080,Binding Machine (P080),Office,3597.0,4529.0,18.0,149,109,MEDIUM,4.1,8
P081,UPS 2000VA (P081),Office,13524.0,18881.0,2.0,63,247,HIGH,4.2,10
P082,Studio Monitor Speaker (P082),Audio,18828.0,28859.0,18.0,169,134,MEDIUM,4.7,5
P083,Mini PC i5 (P083),IT Hardware,25548.0,34737.0,18.0,133,126,MEDIUM,4.6,20
P084,Workstation Dell (P084),IT Hardware,97364.0,134131.0,18.0,36,124,MEDIUM,3.6,13
P085,Memory Card 128GB (P085),Storage,745.0,951.0,15.0,26,25,LOW,4.6,8
P086,Studio Monitor Speaker (P086),Audio,14018.0,16966.0,2.0,119,46,MEDIUM,3.8,3
P087,Laptop Dell i7 (P087),Electronics,71143.0,89196.0,2.0,62,70,MEDIUM,4.2,8
P088,Biometric Fingerprint (P088),Security,4895.0,6240.0,15.0,12,43,LOW,4.7,7
P089,Gaming Headset 7.1 (P089),Audio,4620.0,7039.0,18.0,80,131,MEDIUM,3.6,5
P090,Ring Light 10 Inch (P090),Accessories,2305.0,3232.0,5.0,20,244,HIGH,4.0,8
P091,Apple Watch Series 8 (P091),Wearables,40060.0,52329.0,18.0,70,127,HIGH,4.9,9
P092,Pen Drive 128GB (P092),Storage,841.0,1155.0,12.0,153,108,MEDIUM,4.2,6
P093,Smart Watch GPS (P093),Wearables,12984.0,15737.0,20.0,29,34,LOW,4.0,9
P094,Fitness Tracker Band (P094),Wearables,2329.0,3054.0,12.0,100,116,MEDIUM,4.3,10
P095,WiFi Router AX3000 (P095),Networking,4152.0,5524.0,10.0,155,122,MEDIUM,4.2,2
P096,Ring Light 10 Inch (P096),Accessories,1488.0,2137.0,12.0,151,87,MEDIUM,4.3,7
P097,Binding Machine (P097),Office,4631.0,6067.0,20.0,19,21,LOW,3.7,8
P098,Apple Watch Series 8 (P098),Wearables,42429.0,64994.0,8.0,22,35,LOW,4.6,10
P099,Smart Door Lock (P099),Security,9912.0,14750.0,12.0,24,16,LOW,3.5,13
P100,SSD NVMe 2TB (P100),Storage,12273.0,14730.0,12.0,193,56,MEDIUM,4.8,9
P101,Wireless Mouse Logitech (P101),Accessories,902.0,1221.0,20.0,94,46,MEDIUM,4.9,9
P102,Mechanical Keyboard RGB (P102),Accessories,4702.0,5677.0,2.0,24,41,LOW,3.6,5
P103,Keyboard Wrist Rest (P103),Accessories,1035.0,1453.0,10.0,72,197,HIGH,4.9,6
P104,Video Doorbell (P104),Security,5069.0,7146.0,5.0,42,153,HIGH,3.9,6
P105,SSD NVMe 1TB (P105),Storage,7695.0,9294.0,2.0,182,128,MEDIUM,4.2,2
P106,Network Switch 16 Port (P106),Networking,11535.0,16612.0,20.0,21,19,LOW,4.7,5
P107,Printer Laser Color (P107),Office,23446.0,33285.0,12.0,22,118,HIGH,3.7,9
P108,Dash Camera 4K (P108),Security,5579.0,7490.0,20.0,133,129,MEDIUM,4.9,13
P109,Gaming LED Strip (P109),Gaming,1769.0,2479.0,18.0,94,117,MEDIUM,3.5,5
P110,Dash Camera 4K (P110),Security,5662.0,8775.0,12.0,74,137,MEDIUM,4.2,15
P111,Mini PC i7 (P111),IT Hardware,38630.0,53950.0,20.0,59,220,HIGH,4.1,12
